1082,13,0
20311,7942,2
11348,7514,11
12293,17359,1
1,6,23
1,7,7
16810,19,1
1,3,10
21529,69,0
20333,6727,2
1088,5010,2
12294,18746,0
16725,1957,0
16673,20206,0
16559,9643,0
14900,18765,0
13,16152,0
112,14009,5
11137,1323,0
5010,5292,6
1,8,25
20118,7979,1
32,7807,0
5010,9538,5
1,9,2
58,8685,3
11339,11752,0
31,6792,1
43,52,2
43,51,2
14267,7514,0
21455,7514,1
150,18754,1
3594,8854,0
14362,5177,1
17516,216,5
13068,8522,0
1705,21469,17
4382,7979,0
1530,5622,2
142,17084,0
5177,6934,0
18539,5755,1
150,344,0
13433,30,1
20805,8,8
11708,2579,1
7330,83,17
58,8530,0
13,16285,0
21561,5312,0
14096,4096,0
14718,20629,0
3839,6899,0
11849,1530,0
17539,4529,1
2118,4964,2
15241,2445,0
62,7,3
17044,99,0
20311,6547,2
15199,73,2
1315,2118,3
19112,4224,1
15162,19483,0
10963,5798,3
11752,9122,0
20563,961,1
11752,9120,0
10568,15783,1
16771,5,0
14130,18,4
2362,4522,2
2074,7979,0
18668,2815,1
17228,6869,0
12294,7377,0
151,21532,2
11896,15880,1
2846,667,3
14130,15,4
15530,15940,6
14130,17,5
21584,6420,1
12939,7987,1
139,15492,4
12293,98,3
12293,99,4
17405,68,0
12226,4523,3
112,2726,0
18184,7088,0
12984,90,0
17300,871,1
35,6125,8
14711,8689,0
10248,15856,0
10528,11447,0
1705,3567,19
4413,6611,1
18121,20515,0
130,4757,0
154,22415,3
3127,9041,0
16048,1625,0
48,9946,6
10042,828,0
17564,69,1
10380,21263,0
12899,5617,0
76,8216,12
138,15659,1
11193,15537,13
11621,216,1
20401,5174,0
1500,7621,3
14457,20420,9
21207,5951,0
11225,17663,0
10442,2023,2
16565,4037,0
11596,14185,3
18,2596,1
14227,7267,0
2012,43,0
1503,99,2
3459,4515,1
1637,19303,1
12870,4727,5
10720,289,1
1225,19928,0
11708,3564,1
5908,61,0
