1082,13
1,8
12718,18539
14450,41
19702,83
12892,6823
13365,3
14900,18765
104,5087
19046,21019
12514,14194
11348,7514
2850,8471
5010,9538
11754,3972
11416,19275
11416,19274
11416,19277
11416,19276
1,6
31,6792
13927,17
43,52
102,19781
12918,2674
22307,9964
3553,586
17516,216
11416,21133
17642,5725
1705,21462
15760,7514
11416,6311
7330,83
11416,6313
18075,4150
134,19345
13487,900
19284,4559
14227,15076
150,7301
13327,18700
20311,6547
1315,2118
10255,61
11416,18278
131,6820
19782,7514
17819,6505
22013,35
11896,15880
1501,3554
11416,3929
13863,17807
18714,2811
17122,2049
3179,4625
14511,6090
11388,4522
15816,61
14194,4266
5360,6918
14469,150
10248,15856
150,5652
15689,17786
11416,17941
154,22415
12557,15517
48,9946
17013,21259
11416,16659
15943,8015
138,15659
22351,4820
22420,7720
17616,21259
17416,262
14674,18026
20691,900
1500,7621
16608,7088
16950,5094
1500,7624
16188,5854
12947,3991
15856,17258
79,9385
14511,17338
11903,1513
12366,1847
13995,18714
11416,2522
11416,2523
12922,13641
11416,2521
15944,8153
12744,19449
14036,20884
15944,8157
14975,996
4031,4416
15944,76
14184,22100
15625,4522
21360,29
17047,19004
14956,9292
11355,12822
11416,4254
11416,4252
11416,4253
11416,4250
11416,4251
18121,4388
19,20311
8540,9103
1637,5483
12,12344
5360,6665
150,5227
3584,5725
113,3876
19517,2127
3030,7701
11146,2079
13083,21778
15372,16729
1500,410
1108,16729
163,900
216,9103
29,4573
10872,16952
15664,5549
20905,7088
29,4574
17,18081
26,743
43,8954
17505,2259
10964,162
10964,163
11339,87
2049,440
16952,7622
6557,9791
20155,933
13393,19
10671,3339
1262,15
15,9531
14861,6665
16188,19889
16274,22343
6028,7343
14184,27
14184,29
11652,15856
16703,5464
1662,3435
7253,9589
11416,15697
15943,7621
19641,76
21238,7329
15944,17850
17,3990
15856,5751
18591,61
10104,4521
10803,15689
143,15877
22352,2514
4850,9791
10568,21351
22032,5402
15686,18714
18714,9203
13719,16335
4030,4416
4094,4238
12922,19045
6135,8912
9006,94
16188,16189
19805,499
17155,17505
11234,11416
12297,6829
15856,17419
10495,1157
1106,6720
1637,3306
17047,7149
1957,7514
15945,1847
10652,11085
11451,14711
10085,9400
18940,6665
124,9657
10797,130
19345,5
12037,15943
10890,15642
19,6402
19967,5841
10963,6560
13411,18730
21320,2969
19,6404
13844,8014
15942,1847
17819,4886
17932,19
11071,11752
16830,2811
12226,1530
14955,19631
10195,1161
1060,4394
20398,49
11416,14579
11416,14578
20621,6986
16188,74
19,7315
20116,20139
13120,15940
11059,16795
22463,7514
17011,1847
11416,15499
10797,21146
16418,18714
32,6541
2128,4980
16729,6406
11416,16599
11416,16598
16933,83
14470,9070
4979,6157
10964,18752
11416,9696
65,7533
11416,9690
20619,2692
11416,9351
16116,3504
11416,9699
17819,9701
22108,7514
11416,15496
11457,4652
5010,901
5248,719
5248,718
15965,6118
129,20812
11416,5501
11416,5500
11416,5503
14475,31
130,6202
150,19099
110,94
104,5413
10150,17
11416,18279
108,2743
10890,2517
19821,22420
14860,6665
20871,5177
16188,76
22035,6854
18265,5527
19322,29
16623,20251
10963,20279
12,81
138,21040
10181,99
32,437
10964,19244
109,65
11416,18421
19109,8740
37,5010
11896,15156
12952,14184
13411,6090
131,19967
16188,3232
13365,1588
8137,9568
8504,8790
19344,4522
1500,7439
3306,5527
11851,7514
113,19889
54,6318
22179,251
10797,2769
18600,6275
2637,57
18828,21104
15973,7183
20191,35
113,16
20191,38
19,5328
110,15530
16729,8458
2873,77
10890,17436
13595,5010
10936,6720
17563,99
2049,3103
11026,17
20905,5004
18059,7514
9134,9409
2077,9713
19,9457
16117,900
17,19923
6407,96
27,3
289,5975
1368,20414
130,14429
132,14829
11416,13380
10624,1847
10208,93
12377,1847
154,16396
14325,18166
13322,17
11896,9173
1,13833
7084,9022
111,7512
150,20442
150,20240
101,2787
13,65
11787,12922
17785,54
11449,4522
11219,11752
113,4896
5010,7726
15689,3972
15731,7
15732,2472
15517,6912
11416,772
11416,773
11706,143
14935,20155
154,792
4659,5177
4287,54
10408,4522
14457,5667
18714,54
21268,77
12852,14842
18714,57
18714,52
15976,87
19815,2831
11416,20502
11416,20501
84,9731
19,7671
4727,5685
11260,11416
115,19989
10740,5010
11524,17570
16469,9688
22463,9143
1,17807
11416,7579
32,9531
35,5782
17930,5331
13680,5010
19161,6099
18028,68
20496,42
131,4188
1847,19686
1391,87
15811,69
131,4187
18998,20420
15040,93
6346,69
2901,65
12658,15686
143,19108
11416,9228
1847,8769
6842,9172
43,5599
