15856,8293,0
10,35,0
112,7541,0
1,8,2
10,30,4
1,6,2
10568,7199,0
13607,5160,0
6731,894,0
11798,11799,3
9310,94,0
7514,8542,0
5280,9291,3
14567,16511,0
13,15601,0
45,76,1
14654,31,0
5010,9538,0
108,21886,0
58,8685,1
12479,3744,1
112,16859,0
14026,20084,0
21974,6795,1
14227,586,1
14126,20981,1
16876,7330,0
11256,14272,0
6308,94,0
1705,21469,1
12,131,6
131,20038,0
17305,20344,0
6404,6560,1
11304,17503,5
16081,8685,0
17935,19509,0
7330,83,12
10568,13007,0
5641,6615,0
12006,94,0
18121,6479,0
11596,5280,1
12503,139,0
19,3753,1
17952,8789,0
1,5268,0
15866,4628,0
13393,17807,0
108,14438,0
13,18875,0
5280,8047,0
19352,83,0
4879,7719,3
1971,54,0
10042,7979,0
5427,77,0
3376,9777,1
1408,19723,1
14567,4198,0
108,7727,1
102,7550,0
17058,20518,0
17196,18553,0
18314,5172,0
11718,5280,0
4000,6242,0
1,6906,0
17067,17721,0
108,19412,0
17503,7364,1
17305,21368,0
13654,8194,1
10568,13313,0
7934,87,0
15,6204,0
5280,5892,1
54,56,1
15856,3800,0
15405,2118,0
13,16800,3
13506,2544,2
48,9946,0
22386,5641,0
15361,17367,1
16850,31,0
76,8216,0
19,20958,1
1766,4628,0
13732,17196,0
14272,22329,0
107,21239,0
59,77,10
5225,9777,0
6088,83,0
3749,5280,0
2205,3304,0
121,130,0
154,19,4
15964,54,0
13330,14272,0
14200,94,0
13468,17503,4
21563,7,0
15330,83,0
14322,9,0
102,108,4
11630,14272,1
10495,9142,0
14545,6,0
14272,21757,0
131,15466,0
16471,5728,0
13501,21699,1
12847,58,1
405,86,0
10042,12375,0
10042,12374,0
18314,36,0
18746,19860,1
130,20518,2
142,22378,0
3971,5735,2
3056,77,0
15858,2260,0
18121,4388,0
16783,65,2
122,1530,0
14865,21385,0
21999,7514,0
11353,26,0
17807,20811,0
14272,7772,0
22352,6988,0
17503,7388,0
10321,13,0
13512,18314,0
233,488,0
17503,7386,0
17503,7883,5
